citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
1480,1317,Verified email at unavarra.es,19,19,30,29,2019,2009,J. Sanz,"Assistant Professor of Computer Science and Artificial Intelligence,  Universidad Pública de Navarra None","Artificial Intelligence,Interval-Valued Fuzzy Sets,Evolutionary Algorithms,Classification,Data Mining",90
1162,679,Verified email at uniovi.es - ,20,13,29,22,2019,1983,Jorge Díez,"Artificial Intelligence Center,  University of Oviedo at Gijón None","Artificial Intelligence,Machine Learning",89
1056,486,Verified email at lhind.dlh.de,13,11,16,12,2018,2000,Lars Schwabe,"Director Artificial Intelligence & Data Analytics, Lufthansa Artificial Intelligence None","Artificial Intelligence,Machine Learning,Computational Neuroscience,Cognitive Neuroscience",79
1064,640,Verified email at uah.es - ,14,11,29,15,2019,2000,Maria D. R-Moreno,"Artificial Intelligence,  Universidad de Alcalá None",Artificial Intelligence,171
1065,745,Verified email at ucm.es - ,18,13,34,23,2019,1978,Iván García-Magariño,"Department of Software Engineering and Artificial Intelligence,  Complutense University of Madrid None","agent-based simulator,multi-agent system,agent-oriented software engineering",204
1076,632,Verified email at astrazeneca.com,16,13,25,20,2019,2002,"Faisal M Khan, PhD","Executive Director, Advanced Analytics and Artificial Intelligence at  AstraZeneca None","Machine Learning,Data Science,Healthcare,Biomedical,Imaging",104
1076,359,Verified email at um.edu.mt - ,16,10,23,10,2020,2001,Prof Alexiei Dingli,"Associate Professor, Department of Artificial Intelligence,  University of Malta None","Artificial Intelligence,Gaming,Deep Learning,Explainable AI",135
1077,598,Verified email at guet.edu.cn - ,13,13,25,18,2019,1990,Prof. Shuxue Ding (PhD),"Guilin University of Electronic Technology (China), School of Artificial Intelligence; Just left Homepage None","Artificial Intelligence,Machine Learning,Aware/Neuro-Computing,Signal/Image Processing,Information Theory",155
1081,644,Verified email at hs-weingarten.de - ,17,12,22,14,2019,1989,Wolfgang Ertel,"Professor für Informatik, Institute for Artificial Intelligence, Ravensburg-Weingarten University of Homepage None","Machine Learning,Artificial Intelligence,Service robotics,AI and society,Sustainability",109
1081,860,Verified email at xjtu.edu.cn - ,17,16,28,23,2019,2006,Shaoyi Du,"Institute of Artificial Intelligence and Robotics,  Xi'an Jiaotong University None","Pattern Recognition,Computer Vision,Image Processing",101
1088,550,Verified email at fi.upm.es,16,13,23,15,2019,1989,Jacinto Gonzalez-Pachon,"Department of Artificial Intelligence, Computer Science School,  Technical University of Madrid None","Group Decision Making,Multi-criteria Decision Making,Consensus,Goal Programming,Inconsistency",69
1081,506,Verified email at ucl.ac.uk - ,15,9,26,9,2019,2004,Antonis Bikakis,"Associate Professor in Computing and Artificial Intelligence,  University College London None","Artificial Intelligence,Knowledge Representation,Semantic Web,Non-monotonic Reasoning,Ambient Intelligence",127
1117,693,Verified email at vub.be,11,8,11,7,2019,2006,Leander Schietgat,"Business Developer, Artificial Intelligence Lab, VUB artificial intelligence None","artificial intelligence,machine learning,data science,big data",43
1113,1102,Verified email at siswa.um.edu.my - ,15,15,27,27,2019,2008,"Chiroma H., Ph.D. Artificial Intelligence","Federal College of Education, Department of Computer Science, Nigeria Homepage None","Deep Learning,Machine Learning,Nature Inspired Algorithms & Big Data Analytics",147
1118,342,Verified email at decsai.ugr.es - ,17,10,23,13,2019,1993,Andrés Cano,"Department of Computer Science and Artificial Intelligence,  University of Granada None","Bayesian networks,imprecise probabilities,probabilistic graphical models,data mining,data science",78
1120,780,Verified email at ajou.ac.kr - ,19,18,26,23,2019,2008,Lee Sael (이슬),"Associate Professor of Artificial Intelligence and Data Science Department,  Ajou University None","Machine Learning,Tensor Analysis/Data Mining,Bioinformatics",57
1136,1113,Verified email at e.ntu.edu.sg - ,15,15,20,20,2019,2011,Lisi Chen,"Senior Scientist, Inception Institute of Artificial Intelligence (IIAI) Homepage None","spatio-temporal data,stream data,geo-textual data",32
1122,202,Verified email at dfki.de - ,18,7,34,3,2019,1993,Serge Autexier," (DFKI), Bremen, Germany German Research Centre for Artificial Intelligence None","formal methods especially automated and interactive theorem proving,change management,intelligent environments especially ambient assisted living",141
1142,847,Verified email at mail.mcgill.ca,13,12,14,13,2019,2006,Marie-Julie Fave,Ontario Institute for Cancer Research / Vector Institue for Artificial Intelligence Genomics None,"Genomics,G x E interactions,population genetics,deep learning",26
1146,737,No verified email,12,11,15,13,2015,2005,Mathias Adankon,"AI Scientist | Analytics & Artificial Intelligence, Financial Markets | National Bank of Canada Data Analysis None","Data Analysis,Machine Learning,Pattern Recognition,Finance",37
