citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
1,1,Verified email at auaf.edu.af,1,1,0,0,2018,2003,Edris Hamraz,Cloud computing security and Privacy None None,,7
1,1,No verified email,1,1,0,0,2018,2018,Souvik Paul,"Masters Research Scholar, Mobile & Cloud Lab, Institute of Computer Science, University of Tartu, Tartu , Estonia Cloud Computing None","Cloud Computing,Machine Learning,Fog Computing,Internet of Things,#unitartucs",1
1,1,Verified email at coie-nahrain.edu.iq - ,1,1,0,0,2018,2008,Naeem Th.Yousir,"Lecturer Software as a service in Cloud Computing environment , AL-Nahrain University Homepage None",E-government - Cloud computing and Distributed Databases,9
1,1,Verified email at CloudComputingTechnologies.com - ,1,1,0,0,2014,2014,Dr. Alan F. Castillo,"President and Enterprise Architect, Cloud Computing Technologies Homepage None","Cloud Computing,Strategic Advantage",1
2,2,Verified email at student.unimelb.edu.au,1,1,0,0,2017,2017,Samodha Pallewatta,"CLOUDS Lab, Computing and Information Systems,  University of Melbourne , Australia","IoT,Wireless Communication,Fog computing,Microservices Architecture",1
3,3,Verified email at cloud.dyu.edu.tw,1,1,0,0,2018,2017,Mutia Fadhilla,"Master Student, Department Computer Science and Information Engineering, Da-Yeh University Deep learning None","Deep learning,Computer vision",2
3,3,Verified email at student.unimelb.edu.au - ,1,1,0,0,2019,2017,Shashikant  Ilager,"PhD Candidate, CLOUDS Lab, Computing and Information Systems, The  University of Melbourne , Australia","Distributed Systems,Cloud Computing,Big Data",3
4,1,No verified email,1,1,0,0,2012,2012,Vahid Moghadam,cloud computing iran None,iran,1
6,6,Verified email at kluniversity.in,1,1,0,0,2016,2016,Mohan Srikanth,"Student of M. Tech - Cloud Computing,  K L University None","CLOUD COMPUTING,BIGDATA,IOT,STREAMING",1
8,8,Verified email at student.unimelb.edu.au,2,2,0,0,2019,2014,TianZhang He,"Ph.D. Candidate, CLOUDS Lab, Computing and Information Systems, The  University of Melbourne None","distributed systems,cloud computing,fog computing,IoT",5
8,8,Verified email at rm-rf.cloud - ,2,2,0,0,2017,2016,Hieu LE,"Research Assistant at High Performance Computing, Hanoi University of Science and Technology Homepage None","Cloud Computing,Distributed System,Data Analytics,Internet of Things",2
10,9,Verified email at uotechnology.edu.iq,2,2,0,0,2018,2012,Nahla Alwan,the readiness of mobile opearting systems to handle cloud computing services None None,,8
10,10,Verified email at research.staffs.ac.uk,2,2,0,0,2019,2016,Siyakha N Mthunzi,"Researcher in Cloud Computing Applications Security. Faculty of Computing, Engineering and Sciences Cloud Computing None","Cloud Computing,Bio-inspired Security,Proactive Defense",10
11,11,Verified email at student.unimelb.edu.au - ,1,1,1,1,2019,2014,Muhammed Tawfiqul Islam,"CLOUDS Lab, Computing and Information Systems,  University of Melbourne ,  Australia","Cloud Computing,Big Data,Resource Management,Internet of Things (IoT)",6
19,19,Verified email at bournemouth.ac.uk - ,3,3,1,1,2018,2013,Ibrahim Ejdayid A Mansour,"PhD researcher of Cloud Computing,  Bournemouth University None","Cloud Infrastructure,NFV,SDN,Networking and Virtualization.",7
35,35,Verified email at nitttrchd.ac.in,3,3,1,1,2019,2015,Pawan Kumar,Assistant Professor of cloud computing cloud computing None,"cloud computing,operating system",4
39,38,Verified email at student.unimelb.edu.au - ,3,3,0,0,2019,2010,Muhammad Hafizhuddin Hilman,"CLOUDS Lab, School of Computing and Information Systems,  University of Melbourne , Australia","High Performance Computing,Parallel Computing,Cloud Computing",21
44,44,Verified email at student.unimelb.edu.au,4,4,2,2,2019,2016,Mohammad Goudarzi,"CLOUDS Lab, Computing and Information Systems,  University of Melbourne None","Computer Networks,Cloud Computing,Distributed computing,Mobile cloud computing,Fog computing",7
44,37,Verified email at student.unimelb.edu.au,2,2,1,1,2019,2012,Sara Kardani Moghaddam,"CLOUDS Lab, Computing and Information Systems,  University of Melbourne ,  Australia","Computing Systems,Distributed Systems,Anomaly Detection,Data Mining",6
50,40,Verified email at cdcc.faw.jku.at - ,3,3,1,1,2017,2008,Dr. Mircea Boris Vleju,Christian Doppler Laboratory for Client-Centric Cloud Computing Homepage None,"Cloud Computing,Identity Management",11
56,45,Verified email at stcloudstate.edu,4,4,2,1,2017,2011,Rami Amiri,"Assistant Professor of Electrical and Computer Engineering,  Saint Cloud State University None","Embedded Systems Design,Communication Platforms Based on FPGA,Cryptography",20
56,51,Verified email at cdcc.faw.jku.at,5,5,2,2,2017,2011,Mariam Rady,Christian Doppler Laboratory for Client Centric Cloud Computing -  JKU Linz None,"Cloud Computing,Service Level Agreements,Quality of Service,Semantic Web,Web Service Ontologies",10
64,64,Verified email at icas-pub.org - ,5,5,2,2,2014,2013,Transaction on IoT and Cloud Computing,International Center for Academic Service Homepage None,"IoT,Cloud Computing,Computer Science,Communication",16
67,65,Verified email at student.unimelb.edu.au - ,5,5,4,4,2019,1997,Xunyun Liu,"CLOUDS Lab, Computing and Information Systems, The  University of Melbourne , Australia","Distributed Systems,Cloud Computing,Scheduling,Resource Provisioning,Stream Processing",15
2,2,Verified email at iahpc.ir,1,1,0,0,2017,2017,Amir Mohammad Ghanbari,Iranian Distributed Computing and Systems Society Human Computer Interaction None,Human Computer Interaction,1
3,0,Verified email at mutiara.upm.edu.my,1,0,0,0,2009,2008,Maryam Khosrokhani,Iranian Distributed Computing and Systems Society Corporate Communication None,Corporate Communication,4
4,4,Verified email at uni-tuebingen.de - ,1,1,0,0,2019,2019,Jens Haussmann,"Parallel and Distributed Computing Group,  University of Tuebingen , Reutlingen University","Parallel and Distributed Computing,HPC,Cloud",1
4,4,Verified email at iust.ac.ir - ,1,1,0,0,2019,2018,Mohammad Ali Fardbastani,"Distributed Systems Research Lab, School of Computer Engineering,  Iran University of Science  and","Complex Event Processing,Distributed Computing,Big Data,Real-Time Systems",4
13,13,Verified email at uokufa.edu.iq - ,1,1,1,1,2019,2008,Aymen AlAwadi,"Lecturer of Distributed Computing and Networks,  University of Kufa None","Computer and network security,Intrusion detection system,SDN",6
70,66,Verified email at stcloudstate.edu - ,5,4,2,2,2019,2012,Maninder Singh,"Assistant Professor, Department of Computer Science & IT,  St Cloud State University None","Artificial Intelligence,Machine Learning,Big Data,Data Mining",16
104,104,Verified email at computer.org,4,4,2,2,2019,2015,Caesar Wu,"CLOUDS Lab, Computing and Information Systems, University of Melbourne,  Australia Computer Hardware Design None","Computer Hardware Design,Artificial intelligence,Data Mining,Computer Networks or Wireless Communication",8
110,43,No verified email,7,4,4,0,2017,1989,Cloud Computing,Unknown affiliation None None,,173
142,142,Verified email at microsoft.com - ,6,6,5,5,2019,2015,Phuong Pham,"The Cloud Engineering Services (CloudES),  Microsoft None","Artificial Intelligence,Human Computer Interaction,Natural Language Processing",16
171,129,Verified email at neduet.edu.pk - ,7,7,6,4,2019,1989,Muhammad Ali Ismail,"Associate Professor, PI - National Center of Big data & Cloud Computing  & InCharge, High Performace Homepage None","High performance Computing,Cloud Computing,Data Analytics,Multi-core Processing,Computer Architecture",53
199,199,Verified email at inria.fr,5,5,3,3,2019,2016,Yahya AL-DHURAIBI,Ph.D. student in Cloud Computing Computer Science None,"Computer Science,Cloud Computing,Distributed Systems",11
199,191,Verified email at ut.ee - ,8,6,5,5,2019,2012,Mainak Adhikari,"Mobile & Cloud Lab, Institute of Computer Science, University of Tartu, Tartu, Estonia Homepage None","Cloud Computing,Serverless Computing,Container-based Scheduling,Fog Computing,#unitartucs",29
204,161,Verified email at lmco.com,3,3,2,2,2018,2009,Jeff Daniels,"Cloud Computing Pioneer, Professor, Cybersecurity digitaltransformation None","digitaltransformation,blockchain,devops,cloud computing,cybersecurity",14
213,210,Verified email at bournemouth.ac.uk - ,4,4,4,4,2018,2012,Dr. Justice Opara-Martins FHEA,Ph.D in Cloud Computing Homepage None,"Cloud Computing,Distributed Systems,Information and Communication Technology,Information Management,BigData",11
220,219,Verified email at student.unimelb.edu.au - ,4,4,4,4,2019,2015,Bowen Zhou,"CLOUDS Labs, Computing and Information Systems,  University of melbourne , Australia","Mobile Cloud Computing,Cloud Computing,Resource Scheduling",7
17,17,Verified email at uni.coventry.ac.uk,2,2,1,1,2016,2015,Goodhead Abraham,"Researcher in parallel computing, multicores and Grid scheduling,  Coventry University None","Parallel computing,multicore technology,multi-scheduling,Grid scheduling",3
31,26,Verified email at ac.upc.edu - ,3,3,1,1,2017,2010,Vamis Xhagjika,"PhD Distributed Computing,  Universitat Politècnica de Catalunya None","Distributed Computing,Cloud Infrastructure,Autonomic Computing,Telecom Clouds",10
40,40,Verified email at neudesic.com - ,3,3,1,1,2015,2010,Tanmoy Sarkar,"Student of Distributed and Mobile Computing, Jadavpur University Homepage None","Sensor Networks,Security,Quantum Computing",9
40,20,No verified email - ,4,4,3,0,2017,2007,Muhammad Farhan Bashir,Member Center for Distributed and Semantic Computing (CDSC) Homepage None,"Semantic Computing,Distributed Systems,Semantic Cache,Grid Computing",6
66,65,Verified email at leeds.ac.uk - ,2,2,1,1,2017,2011,Abdulaziz Albatli,"Distributed Systems and Services Research Group, School of Computing,  University of Leeds, Leeds , UK","Provenance (Computer Science),Cloud Computing,Big Data,Data Centers,Resource Utilization",6
