citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
1,0,Verified email at christuniversity.in,1,0,0,0,2019,1900,Purna Prasad Arcot,"Associate Professor,Institute of Management (Operations and Systems), Christ University None","Lean,Green,SCM",7
1,1,Verified email at modares.ac.ir,1,1,0,0,2016,2014,Alireza Toghyani,"PhD of Systems Management And M.Sc of Operations Research,  Tarbiat Modares University None","Management Science,Operations Research,Fuzzy,Decision Sciences",2
2,2,Verified email at umri.ac.id,1,1,0,0,2018,2009,Muhammad Ridha Fauzi,"Professor of Power System Operation and Control, Muhammadiyah University of Riau Artificial Intelligence None","Artificial Intelligence,Electrical Power System",6
5,5,Verified email at airbus.com,1,1,0,0,2020,2018,Edouard Sadien,"Aircraft Control Systems Engineer, Airbus Operations S.A.S. On-ground aircraft None","On-ground aircraft,control laws design,control allocation,modeling",4
5,5,Verified email at uco.edu,1,1,0,0,2019,2012,Willis Mwangola,"Assistant Professor of Information Systems and Operations Management,  University of Central Oklahoma None","Supply Chain Management,Operations Management",10
6,6,Verified email at isae.fr - ,2,2,0,0,2016,2014,Jean-Francois Allias,"Dr-Ing, R&T electrical systems, Airbus Operations SAS Homepage None","Machines électriques,mécatronique,modèles magnétiques,réseau de Halbach,retour d'effort",9
6,3,Verified email at lfbs.rwth-aachen.de - ,1,1,0,0,2015,2007,Georg Wassen,"Research Assistant at Chair for Operating Systems (Lehrstuhl für Betriebssysteme),  RWTH Aachen University None","real-time,operating systems",4
9,9,No verified email,1,1,0,0,2014,2014,Muhammad Zafran,"Power System Operations Engineer, National Power Control Center, Islamabad Power System Operations None","Power System Operations,Planning,Control,Analysis and Management",2
13,13,No verified email - ,1,1,1,1,2018,2012,sofiane ziani,"Dr in Operations Research, LaMOS (Modeling and optimization of systems), University of Bejaia Homepage None","Queueing systemes,Game Theory,stochastic analysis,strategic behavior in queueing systems",10
24,22,Verified email at aucklanduni.ac.nz,2,2,2,1,2019,2008,K Dharini Amitha Peiris,"Senior Lecturer, Information Systems and Operations Management, Business School,  University of Auckland None","Design Science Research,Online Learning Systems,Decision Support and Recommender Systems,Data Analytics,Machine learning",12
28,5,Verified email at usb.ve - ,3,1,1,0,2011,2008,MARLA CORNIEL,PROFESSOR OF SYSTEM INFORMATION AND OPERATIONS RESEARCH Homepage None,"RECOMMENDER SYSTEM,AI,ONTOLOGY,SEMANTIC WEB",7
32,30,Verified email at masonlive.gmu.edu,3,3,1,1,2017,1995,Zhenming Wang,"PhD student of Systems Engineering & Operations Research,  George Mason University None","Systems Modeling,Data Analysis,Simulation",14
34,19,Verified email at maths.tcd.ie - ,5,3,1,0,2014,2006,Oliver Nash,Deputy Director of Operations for Joint Systems Interdepartmental Operational Command Homepage None,"Geometry,topology",5
40,40,Verified email at ibr.cs.tu-bs.de,4,4,2,2,2019,2016,Manuel Nieke,"Institute for Operating Systems and Computer Networks,  TU Braunschweig None",Distributed Systems,6
182,148,Verified email at saal.ai,8,8,5,4,2019,2003,Ankit Kumar Srivastava,"Saal Operating Systems LLC, German Research Center for Artificial Intelligence (DFKI) Machine Translation None","Machine Translation,Digital Curation,Linked Data,Natural Language Processing,Machine Learning",48
189,112,Verified email at wsu.edu,5,4,3,1,2017,2006,Alex Merrill,"Head of Systems and Technical Operations and Associate Professor,  Washington State University None",,15
1,1,Verified email at ut.ac.ir - ,1,1,0,0,2014,2013,Negin Yashmi | نگین یشمی,Chief Product Officer at ‌Bahar E-Commerce Services Homepage None,"Design Thinking,Product Management,User Experience Design",6
1,1,Verified email at modernfa.com - ,1,1,0,0,2019,2014,Ali Mosallanejad - علی مصلی نژاد,"Master of E-Commerce, ModernFA International Center of IT & Management Research. Homepage None",,33
1,1,Verified email at vcw.ac.in,1,1,0,0,2019,2009,Dr.P.Parimaladevi,"Associate Professor and Head, Department of E-COMMERCE,, Vellalar College for Women, Erode Financial Management and Marketing Management None",Financial Management and Marketing Management,26
2,2,Verified email at due.udn.vn - ,1,1,0,0,2018,2007,VO QUANG TRI,"Faculty of E-Commerce, University of Economics, The  University of Da Nang None","Interpersonal Behavior,Location-based Marketing,Strategy,Service Design",13
2,2,Verified email at jkuat.ac.ke - ,1,1,0,0,2015,2015,Godfrey Makau,"strategic management & e-commerce consultant,  Jomo Kenyatta University of Agriculture & Technology None","Strategic management,ICT strategy,e-commerce and e-government systems consultancy.",3
204,203,Verified email at epfl.ch - ,5,5,4,4,2018,2014,Jasmina Malicevic,"PhD Student, Operating Systems Laboratory,  EPFL , Switzerland","Graph analytics,Storage,Big Data",5
229,194,Verified email at emory.edu - ,7,7,7,6,2019,2005,Nikolay Osadchiy,"Associate Professor of Information Systems and Operations Management, Goizueta Business School Homepage None","Operations Management,Revenue Management,Supply Chain Management",17
229,108,Verified email at famu.edu - ,5,4,5,4,2019,2003,Jason T. Black,"Associate Professor, Information Systems and Operations,  Florida A&M University  School of Business","Mobile Computing,Ubiquitous and Pervasive Computing (ubicomp),Collaborative Learning,Mobile Learning (m-learning),Game-Based",20
231,157,Verified email at salam.uitm.edu.my,5,4,3,3,2019,2001,Roslina Ab Wahid,"Associate Professor of Quality System & Operations Management,  Universiti Teknologi Mara None","Quality management systems,operational excellence,operations management,service quality,halal certification",28
242,220,Verified email at csudh.edu - ,8,7,7,6,2019,2004,Chi-Wen Chen,"Assistant Professor of Information Systems and Operations Management, California State University Homepage None","Human-Computer Interaction,User Experience",23
252,239,Verified email at schuermann.eu - ,7,7,7,7,2019,2012,Dominik Schürmann,"TU Braunschweig, Institute of Operating Systems and Computer Networks Homepage None","Security,Context-based security",24
267,80,Verified email at uco.edu,4,3,3,3,2014,1989,Warren Dickson,"Associate Professor of Information Systems and Operations Management,  University of Central Oklahoma None","Information Systems Management,Alignment of IT and Strategy,Innovation,disruptive innovation",8
294,277,Verified email at uonbi.ac.ke - ,7,7,7,6,2019,1994,Muranga Njihia,"Associate Professor in Information Systems and Operations Management,  University of Nairobi None","Strategic Information Systems,Philosophy of Science,Operational Excellence,Project Management,Research Methodology",59
304,189,Verified email at esc-saint-etienne.fr - ,8,7,7,5,2019,2002,Ridha Derrouiche,"Professor of Supply Chain, Operations management and Information Systems Homepage None","Supply Chain,Operations management,Sustainable Supply Chain,PSS",77
305,201,Verified email at mans.edu.eg,8,7,8,7,2020,2000,Magdi Saadawi,"Professor of Power System Operation, Faculty of Engineering,  Mansoura University , Egypt","Renewable Enegy,Power Syatem Analysis,Power Syatem Operation",64
4,4,Verified email at smsvaranasi.com,1,1,0,0,2018,2008,Dr. Abhishek Srivastava,"Ph.D. (E-Commerce), MCA, M.Sc. (Computer Science), M.Com. - Assistant Professor, SMS, Varanasi Digital Marketing None","Digital Marketing,Social Media,E-Commerce,Management Information System,Social Media Marketing and Management",16
4,4,No verified email,1,1,0,0,2008,2008,Herbert Schlangemann,Towards the Simulation of E-Commerce Computer Science None,Computer Science,2
5,5,No verified email,1,1,0,0,2017,2017,Aref Alidoostan,Master Student of Information Technology Engineering (e-commerce) Data_Mining None,Data_Mining,1
5,5,Verified email at stmik-sumedang.ac.id,2,2,0,0,2019,2015,"Yopi Hidayatul Akbar, S.Kom., M.T","Dosen E-Commerce, STMIK Sumedang E-Commerce None","E-Commerce,E-Business,SEO,Internet Marketing,Statistik",5
5,5,Verified email at viethanit.edu.vn,1,1,0,0,2018,2011,Phuoc Cuu Long Le,"Ph.D; Faculty of E-commerce & Communication, Marketing department; VHIT College, MIC Markerting research None","Markerting research,New product development,Brand Management",8
7,1,Verified email at fhnw.ch - ,2,1,0,0,2018,1997,Martina Dalla Vecchia,"Professor of Digital Marketing, eCommerce and Social Media,  FHNW None","Digital Marketing,eCommerce,Social Media,Digital Transformation,Digital Leadership",62
8,8,Verified email at due.udn.vn,1,1,0,0,2019,2015,Tran-Danh Nhan,"Faculty of eCommerce, University of Economics, The  University of Danang None","System Dynamics,Business Simulation,Strategic Management,Decision Making,Scientometrics",9
10,2,Verified email at ug.edu.ec - ,1,1,1,0,2007,2007,Gabriel E Ayala Bolaños,"Docente de Ecommerce y Emprendimiento,  Universidad de Guayaquil None","Tic,Ecommerce,Emprendimiento,Marketing,diseño web.",1
12,11,Verified email at kdrp.com - ,2,2,0,0,2018,2013,Keshav Sud,Senior Manager Data Science - eCommerce Homepage None,"Recommendation Systems,Media Mix Attribution,Time series Forecasting,Multi-armed Bandit Experimentation,ML",4
