citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
7361,5004,Verified email at ieec.uned.es - ,38,31,188,120,2019,1755,Manuel Castro Gil,"Professor of Electronic Technology, Engineering,  UNED None","Engineering Education,IEEE,Computer Science,ICT,Remote Laboratories",1947
3962,1782,Verified email at liu.se - ,30,19,93,42,2019,1985,Igor Zozoulenko,"Professor, Laboratory for Organic Electronics,  Linköping University None","condensed matter physics,polymer physics",198
3643,1984,Verified email at ieee.org - ,28,22,92,53,2019,1976,Cher Ming Tan,"Professor of Electronics Department, Chang Gung University Homepage None",Reliability,327
3226,1293,Verified email at tcd.ie,28,16,92,39,2019,1977,Tatiana Perova,"Professor, Department of Electronic and Electrical Engineering,  Trinity College Dublin None","Optical and spectroscopic characterization of materials,photonic crystals",361
3092,1137,Verified email at ucalgary.ca,30,18,76,27,49,1991,Martin Mintchev,"Professor of Electronics,  University of Calgary ; Adjunct Professor of Experimental Surgery","Electronic Instrumentation,Embedded Systems,Biomedical Engineering,Medical Electronics,Oilfield Instrumentation",263
3094,1664,No verified email,29,21,57,43,2019,1992,JOON GOO PARK,"Professor of School of Electronics Engineering, Kyungpook National University Mobile Communication & Navigation None",Mobile Communication & Navigation,107
3094,1955,Verified email at eleceng.adelaide.edu.au - ,27,21,56,39,2019,1997,Said Al-Sarawi,"School of Electrical and Electronic Engineering, The  University of Adelaide None","VLSI,MEMS and Biomedical Devices",288
3097,1767,Verified email at uniroma2.it,26,21,71,48,2019,1995,Paolo Colantonio, - Department of Electronic Engineering University of Roma Tor Vergata None,High Frequency Microwave Electronics,305
3105,1403,Verified email at ea.com - ,16,11,27,13,2019,1987,John Kolen,Electronic Arts Homepage None,"Machine Learning,Neural Networks",104
3119,2213,Verified email at kookmin.ac.kr,28,22,37,37,2019,1990,Heeso Noh,"Department of Nano and Electronic Physics,  Kookmin University None",Photonics,95
3114,1188,No verified email,30,17,65,24,2018,1980,HILTON ABÍLIO Grundling,"Research Group in Power Electronics and Control, UNIVERSIDADE FEDERAL DE SANTA MARIA CONTROL SYSTEMS APPICATIONS None","CONTROL SYSTEMS APPICATIONS,POWER ELECTRONICS",231
3132,1544,Verified email at etri.re.kr,28,21,67,45,2019,2002,Nam Sung Cho,Verified email at etri.re.kr Electronics and Telecommunication Research Institute None,"OLED,OLEDoS,PhotoResist",178
3136,1583,Verified email at p.lodz.pl - ,24,17,46,28,2019,1981,Andrzej Materka,"Professor, TUL Institute of Electronics Homepage None","medical image analysis,brain-computer interface",189
3170,3094,Verified email at ioe.ac.cn,30,29,64,62,2019,2008,Xiong Li,"Institute of Optics and Electronics, Chinese Academy of Sciences Nano-optics None","Nano-optics,Plasmonics,Metamaterials,Metasurfaces",126
3177,1434,Verified email at tudelft.nl - ,27,18,70,35,2019,1991,Leo de Vreede,"Professor in Electronics,  Delft University of Technology None","Circuits,RF,Microwave,Transmitters,Measurement techniques devices",208
3183,1602,Verified email at ugent.be - ,24,17,47,30,2019,1990,Alex Van den Bossche,Professor in power electronics and variable speed dives  Ghent University  EELAB,"power electronics,alternative energy,electric vehicles",273
3184,1554,Verified email at cis.pku.edu.cn - ,24,20,48,35,2020,2002,Zhi-Hong Deng,"School of Electronics Engineering and Computer Science,  Peking University None","data/text mininig,machine learning,social networks,information retrieval",133
3208,1118,Verified email at ecs.soton.ac.uk,27,16,58,28,2019,1970,Martin Charlton,"Professor, School of Electronics and Computer Science,  University of Southampton , UK","Photonics,Optics,Lasers,Photonic Crystals,LEDs",229
3211,1290,Verified email at manchester.ac.uk - ,27,18,70,40,2019,1992,Hujun Yin,"School of Electrical and Electronic Engineering, The  University of Manchester None","Neural networks,image processing,face recognition,dimension reduction,time series",235
3192,1635,Verified email at ismdhanbad.ac.in - ,21,17,61,35,2020,1925,Amitesh Kumar,"Assistant Professor, Department of Electronics Engineering, Indian Institute of Technology ( ISM None",microwave photonics,1151
3214,2704,Verified email at yonsei.ac.kr - ,30,28,61,52,2020,2000,Taeyoon Lee,"Professor of Electrical and Electronic Engineering,  Yonsei University None","Fiber electronics,Textile electronics,Wearable electronics,Biomaterials",190
3222,1281,Verified email at junis.ni.ac.rs - ,30,18,77,25,2019,1979,Miodrag Petkovic,"Faculty of Electronic Engineering,  University of Nis, Nis , Serbia",Numerical and Interval Mathematics,209
3216,1370,Verified email at uan.edu.co,20,14,49,22,2020,1961,Jaime Humberto Carvajal Rojas,"Professor of the Faculty of Electronic and Biomedical Engineering,  University of Antonio Nariño , Colombia","Robotics,Control Theory,Mecatronics,Engineering Applications",388
3226,2558,Verified email at es.hokudai.ac.jp - ,20,19,27,27,2020,2005,Yoshimitsu Sagara,"Research Institute for Electronic Science,  Hokkaido University None","mechanophore,mechanochemistry,supramolecular chemistry,materials science,liquid crystal",49
3241,669,Verified email at mbe.uni-hannover.de - ,29,12,77,18,2019,1988,Andreas Fissel,", Institute of Electronic Materials and Leibniz University Hannover None","Molecular beam epitaxy,Silicon Carbide,Rare earth oxides,surface science",191
3244,1031,Verified email at itu.edu.tr,30,17,58,34,2019,1986,Serdar Özoğuz,"Professor of Electronics and Communication Department,  Istanbul Technical University None","analog circuits,nonlinear circuits and systems",155
3242,1621,Verified email at unipg.it,30,21,88,53,2019,1970,Luca Roselli,"Associate professor - full professor qualified in Applied Electronics,  ""Università di Perugia"" None","RF&Microwaves,Green Electronics,RFID systems,Technologies for IoT,Energy Harvesting & Wireless Power Transfer",304
3245,1867,Verified email at dow.com,14,14,16,15,2019,2004,"Murali Ganth Theivanayagam, Ph.D.","Research Scientist, Dow Electronic Materials, The  Dow Chemical Company None","Electronic Materials,Batteries,Nanotechnology,Green Energy,and Electrochemistry",39
3252,1429,Verified email at lnp.hcei.tsc.ru,30,22,51,38,2019,1971,Korolev YD,Institute of High Current Electronics Physics of gas discharge None,Physics of gas discharge,348
3256,2427,Verified email at cau.ac.kr - ,28,27,58,55,2019,2005,Sung Jin Yoo,"School of Electrical and Electronics Engineering,  Chung-Ang University None","Control,Adaptive nonlinear control,Formation Control,Decentralized Control,Robotics",134
3265,2332,Verified email at ing.uniroma2.it,30,25,76,59,2019,1960,andrea reale,"Associate Professor, Dept. Electronic Engineering,  University of Rome Tor Vergata None","Optoelectronics,Photovoltaics,Nanoelectronics,Sensors",263
3282,2601,Verified email at tsinghua.edu.cn,27,22,73,61,2019,1987,Sigang Yang,"Dept. of Electronic Engineering,  Tsinghua University None","optical parametric amplification,optical parametric oscillator,Photonic crystal fiber",330
3297,2954,Verified email at tu-dresden.de,31,29,62,59,2020,2008,Prof. Dr. Yana Vaynzof,"Chair for Emerging Electronic Technologies, Technical University of Dresden, Germany Photoemission Spectroscopy None","Photoemission Spectroscopy,Organic and Hybrid Photovoltaics,Organic Electronics",122
3455,1747,Verified email at bham.ac.uk - ,23,17,47,28,2019,2001,Alexandros Feresidis,"School of Electronic, Electrical and Computer Engineering,  University of Birmingh None","Wireless Communications,Antennas,Microwave Engineering,Electromagnetic Metamaterials,Computational Electromagnetics",159
3446,1730,No verified email,26,20,59,39,2020,1966,Adnan Ali,Msc student in Electronic and Communication Engineering -ALNahrain University Optical Communications None,Optical Communications,315
3467,1955,Verified email at iesl.forth.gr - ,31,23,50,41,2019,1997,David Petrosyan,"Principal Researcher, Institute of Electronic Structure and Laser,  FORTH , Heraklion, Crete, Greece","Quantum optics,quantum information,Rydberg atoms,optical lattices",104
3475,2564,Verified email at unimelb.edu.au - ,29,25,69,62,2019,1998,Chris Manzie,"Professor in Electrical and Electronic Engineering,  University of Melbourne None","Control systems,Automotive Engineering,Mechatronics,Autonomous Systems",224
3483,1391,Verified email at cityu.edu.hk,21,12,33,14,2019,1984,Lm Cheng,"Associate Professor of Electronic Engineeing,  Cit University of Hong Kong None","Cryptography,Watrmarking,Smart Card,RFID,eHealth",154
3483,2233,Verified email at ntu.edu.sg - ,35,25,66,54,2019,2005,Yu Luo,"School of Electrical & Electronic Engineering,  Nanyang Technological University, Singapore None","Metamaterials,Plasmonics,Transformation Optics,Invisibility Cloaks,Nonlocal and Quantum Tunnelling effects",130
3486,1235,Verified email at ufsm.br,31,18,72,33,2019,1987,Hélio L. Hey,"Research Group in Power Electronics and Control,  Federal University of Santa Maria None",power electronics,174
3492,2073,Verified email at scnu.ac.kr,26,22,51,43,2019,1995,Shi-Hoon Choi,"Department of Printed Electronics Engineering, Sunchon National University Material Texture None","Material Texture,Plasticity Theory,Simulation,Polycrystal Model,Recrystallization",122
3502,1342,Verified email at boun.edu.tr - ,25,18,35,24,2018,1996,Burak Acar,"Professor of Electrical & Electronics Eng.,  Bogazici University None","Image/Signal Processing/Analysis,Computer Aided Detection/Diagnosis in Medicine/Industry,Data Analytics,Search & Retrieval",103
3512,1222,Verified email at samsung.com,25,19,37,27,2018,1999,Kyung-Chang Ryoo,Verified email at samsung.com Samsung Electronics None,"Emerging Memory (PRAM,STT-MRAM,ReRAM)",122
3513,1679,Verified email at ing.uc3m.es - ,27,16,50,24,2018,1970,"Emilio Olías Ruiz (Olias, E.)",. Dep. of Electronics Technology. Power Electronics Systems Group University Carlos III of Madrid None,"Electronics,Power Electronics Conversion,Microelectronics",127
3517,2628,Verified email at uestc.edu.cn - ,31,26,49,39,2019,2005,Chun Li,Verified email at uestc.edu.cn -  University of Electronic Science and Technology of China None,"Photodetector,2D materials,Tunable photonics,Smart windows",75
3513,2155,Verified email at ugto.mx - ,34,25,77,48,2019,1981,Yuriy S. Shmaliy,"Professor of Electronics Engineering,  Universidad de Guanajuato None","Signals,Systems,Statistical Signal Processing,State Estimation,Filtering",353
3536,2992,Verified email at ieee.org - ,25,24,42,39,2019,1977,Khaled H. Ahmed,Senior Lecturer in Power Electronics Homepage None,"Power Electronics,HVDC,DC/DC Converters,Microgrid,Renewable Energy.",136
3542,1608,Verified email at essex.ac.uk - ,29,19,70,36,2019,1991,John Q Gan,", School of Computer Science and Electronic Engineering Essex University None","Artificial intelligence,machine learning,robotics,brain-computer interface,human-machine interaction",162
3540,3193,Verified email at samsung.com,31,29,86,75,2019,2011,Hyoung-ju Ji,Senior Engineer of  Samsung Electronics . Ltd,"Wireless Communication,LTE-A Pro,5G (eMBB/mMTC/URLLC),Small cell,FD-MIMO (massive MIMO)",520
