citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
16,16,Verified email at uaeu.ac.ae - ,3,3,0,0,2019,2011,Marton Gergely,"Assistant Professor of Information Systems and Security,  United Arab Emirates University None","Cyber Law and Ethics,Digital Piracy,Emerging Technologies,Social Desirability Bias,Social and Cognitive Psychology in Technology Use",13
11,2,Verified email at farzaneh.ws,3,1,0,0,2009,2006,Kevin Farzaneh,"Network and Security Consultant, K1 Networks Network None","Network,Security",4
7,7,No verified email,2,2,0,0,2018,2016,Ahmed Mohammed Fahad,"Doctor of Philosophy (Ph.D.) in a Network Security, University Malaysia Pahang (UMP) network None","network,security",6
3,3,Verified email at rohan.sdsu.edu,1,1,0,0,2017,2016,Pragna Paladugu,"Network Security Engineer, Solarflare Communications Body Area Networks None","Body Area Networks,Artificial Intelligence,Data Mining,Network Security,Machine Learning",2
1,1,Verified email at um5s.net.ma,1,1,0,0,2019,2019,Ahmed BIR-JMEL,"Phd student, Laboratory of Mathematics, Computing & Applications-Information Security, Faculty of Feature selection None","Feature selection,Cancer classification,Metaheuristics,Graph theory,DNA microarray",2
1,1,Verified email at uniso.edu.so - ,1,1,0,0,2014,2014,Mohamed Adam Isak,"Assistant Professor of Software Engineering and Information Security, University of Somalia Homepage None","Cloud Computing,Software Engineering,Information Security",2
1,1,Verified email at ptit.edu.vn,1,1,0,0,2016,2015,Cao Minh Thang,Assistant Professor of Information Security Information Security None,"Information Security,Cryptography",3
1,1,Verified email at ccfis.net,1,1,0,0,2020,2019,Prashant Gaurav,Cyborg Cyber Forensics and Information Security Pvt.Ltd machine learning None,"machine learning,artificial intelligence,deep learning,image processing,meta heuristics",2
1,1,Verified email at ietdavv.edu.in,1,1,0,0,2017,2014,Nilima Karankar,M.E. in information security information security None,information security,3
1,1,Verified email at lolctech.com,1,1,0,0,2018,2018,Asela Jayatilleke,Information Security Specialist Cyber security None,Cyber security,2
1,1,Verified email at gtu.edu.in,1,1,0,0,2016,2016,Utpal Upadhyay,ME in Network Security Network Security None,"Network Security,OWASP,Vulnerability",1
1,1,Verified email at students.aust.edu.lb - ,1,1,0,0,2017,2015,Motasem Hamdan,"HealthCare Information Security Engineer, AUST-BAU-ISACA-Cisco-Cybrary, Damascus, Syria Homepage None",HealthCare Information Security,11
1,1,Verified email at jklu.edu.in - ,1,1,0,0,2018,2016,ABHISHEK VYAS,"Lecturer @  JK Lakshmipat University , Jaipur & M.Tech. CSE (Information Security) from VIT-Vellore","Cryptography,Computer Networks Security,AI,ML,Web. App. Security.",2
2,2,Verified email at dlsu.edu.ph,1,1,0,0,2018,2017,Keinaz Domingo,Information Security Consultant Cybersecurity None,"Cybersecurity,Ethical Hacking,Blue Teaming,Application Security,Threat Intelligence",2
2,2,Verified email at cispa.saarland,1,1,0,0,2019,2019,Alessandro Erba,"PhD Student, CISPA Helmholtz Center for Information Security None None",,2
2,2,Verified email at fincsirt.lk - ,1,1,0,0,2018,2016,S. Deshan Ilangakoon,Information Security Engineer Homepage None,"Information Security,IoT,Computer Technology,Artificial Intelligence,Robotics",2
2,2,No verified email,1,1,0,0,2017,2017,Maryam Anwer,Information Security computer science None,"computer science,Machine learning,AI,cyber security",1
2,2,No verified email,1,1,0,0,2018,2016,Vigneshwaran Selvaraj (Vic | 维克 | ビク| விக்),Network Security Architect (NSA) Network Security None,"Network Security,Network cloud Infrastructure,Space Administration & Communication,4G/5G,Wireless Network",2
2,2,Verified email at tik.pnj.ac.id,1,1,0,0,2015,2010,Defiana Arnaldy,"Lecturer of Network Security, Politeknik Negeri Jakarta network security None","network security,cloud computing,Internet of Thing",6
2,2,Verified email at univ-tlemcen.dz,1,1,0,0,2019,2019,Babaghayou Messaoud,"PhD student in vehicular ad-hoc networks security,  Tlemcen University None","privacy,pseudonym change,security in vanets",3
2,2,Verified email at ru.nl - ,1,1,0,0,2019,2015,Thom Wiggers, – Institute for Computing and Information Sciences – Digital Security Radboud University None,"cryptography,optimisations,implementations,applied cryptography,protocols",4
2,2,Verified email at std.psut.edu.jo,1,1,0,0,2017,2016,Sinan Ameen Noman,"M.Sc in information security and digital criminology,  Princess Sumaya University for Technology None","Technology,Wireless",5
3,3,Verified email at cispa.saarland,1,1,0,0,2019,2019,Abdallah Dawoud,CISPA Helmholtz for Information Security Mobile Security None,"Mobile Security,Access Control,Object Capabilities",1
3,3,Verified email at unpas.ac.id,1,1,0,0,2017,2013,Doddy Ferdiansyah,Master of Information Security Information Security None,"Information Security,Computer Security,IT Infrastructure",32
4,4,Verified email at korea.ac.kr - ,1,1,0,0,2019,2017,Na-Young Ahn,Information Security Researcher at  Korea University None,PLS,4
4,4,No verified email,2,2,0,0,2019,2013,nivedetha b,Network security IoT None,"IoT,Network security",10
4,4,No verified email - ,1,1,0,0,2017,2017,gazala matloob,"Student of information security and cyber forensic,Jamia Hamdard University Homepage None","Biometric,CloudComputng,Cryptography",3
4,1,Verified email at etu.unistra.fr - ,1,1,0,0,2018,2009,Maad Kamal Al-Anni,Professor of Computer and Network Security Homepage None,"Intrusion Detection System,Mobile adhoc Network,Artificial Intelligent Network,Data and Network Security,Evolutional Algorit",4
4,4,Verified email at korea.ac.kr,1,1,0,0,2018,2016,Hee Chan Han,"Graduate School of Information Security,  Korea University None","Data mining,Machine learning,Big Data,Data analytics,Data visualization",3
4,4,Verified email at iiu.edu.pk - ,1,1,0,0,2019,2016,Khwaja Mansoor,"Department of Information Security, National University of Sciences and Technology NUST,Islamabad Homepage None","Information Security,Applied Cryptography,Cloud Forensic,Cloud Computing,IoT",9
5,5,Verified email at fpt.edu.vn - ,1,1,0,0,2019,2018,Bùi Trọng Vinh,Expert of Network Security Homepage None,"IoT,Big Data,Ai,Security",2
5,5,Verified email at cse.shirazu.ac.ir,1,1,0,0,2019,2019,Hamid Darabian,M.Sc. Student of Information Security Machine Learning None,"Machine Learning,Deep Learning,Malware Detection,Cryptography,Hardware Security",1
5,5,Verified email at uni-saarland.de - ,1,1,0,0,2018,2018,Inken Hagestedt,Cispa Helmholtz Center for Information Security Homepage None,"Epigenome,Privacy,Differential Privacy",2
5,5,Verified email at sict.edu.mn,1,1,0,0,2016,2016,Enkhtur Tsogbaatar,"Lecturer of Information network, security, MUST SICT Information security None",Information security,1
6,6,Verified email at um5.ac.ma,1,1,0,0,2019,2015,Samia EL HADDOUTI,"Information Security Research Team (ISeRT), ENSIAS - Mohamed V University of Rabat, Morocco. Identity Management None","Identity Management,Information Security,Privacy Management,Blockchain & Hyperledgers Technologies",4
6,6,Verified email at rajalakshmi.edu.in - ,1,1,0,0,2017,2017,Aashish Vivekanand,Network & Cloud Security Specialist @ Falaina | National Technical Committee Member @ NCDRC Homepage None,"Cyber Security,Android Security",1
6,6,Verified email at ca.com,1,1,0,0,2014,2014,anupam tamrakar,"Masters in Information Security, MNNIT Allahabad Virtualization None","Virtualization,cloud computing",1
6,6,Verified email at hit.ac.zw,2,2,0,0,2015,2014,walter mambodza,"Lecturer of Information Security and Assurance, Harare Institute of Technology Information security None","Information security,Risk Management,Digital forensics,cyber security,cloud security",3
6,6,Verified email at uod.edu.sa,1,1,0,0,2019,2015,Khalid Alissa,"Assistant professor of information security, IAU Access control None","Access control,social engineering,network security,security management,computer forensics",9
6,5,Verified email at upb.edu.co,2,2,0,0,2013,2005,Reinaldo N. Mayol Arnao,Professor of Information Security  Universidad Pontificia Bolivariana None,,6
6,6,Verified email at tafensw.edu.au,1,1,0,0,2014,2014,John Frederick Rose,"Lecturer, Northern Sydney Institute, Bachelor of IT (Network Security) Modelling of Knowledge Systems. None",Modelling of Knowledge Systems.,1
7,7,Verified email at mail.ist.edu.pk,1,1,0,0,2019,2019,Engr. Fawad Masood,Secure communication and information security Coding and Cryptography None,"Coding and Cryptography,Cryptanalysis,Chaotic dynamical systems,Chaotic Cryptography",1
7,2,Verified email at fh-hagenberg.at - ,2,1,0,0,2015,1993,Robert Kolmhofer,Professor of Secure Information Sytems Homepage None,"secure systems,digital forensics,critical infrastructure protection,high performance computing in security",4
7,7,Verified email at plymouth.ac.uk - ,1,1,0,0,2018,2014,Muhammad Dawood,", Centre for Security, Communications and Network Research Plymouth University None","Virtualized wireless access infrastructure,Distributed Mobility Management,SDN",5
7,6,Verified email at engineer.com,1,1,0,0,2017,2009,Shadi Zarei,Network operator of information Protection Data analysis None,Data analysis,5
