citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
28258,28136,Verified email at ml.jku.at,88,88,358,357,2019,1996,Johannes Brandstetter,"Institute for Machine Learning,  Johannes Kepler University Linz , Austria","Machine Learning,High Energy Physics",1326
2191,1404,Verified email at optum.com,28,23,34,33,2019,2005,Kenneth Bryan,Machine Learning and Genomics at Optum (UHG Group) Machine Learning None,"Machine Learning,Genomics,Bioinformatics.",63
1454,1284,Verified email at uwaterloo.ca,9,7,9,6,2015,2008,Bahador Khaleghi,"Center for Pattern Analysis and Machine Intelligence,  U of Waterloo None","AI,Data Mining,Information Fusion,Signal Processing,Ambient Intelligence",22
1144,766,Verified email at cvc.uab.es,13,10,15,11,2018,2001,Jaume Amores,"machine learning, computer vision, pattern recognition None None",,31
897,253,Verified email at apple.com,15,8,16,7,2017,1999,Antti-Veikko Rosti,"Machine Learning Manager,  Apple Inc None","Speech Recognition,Machine Translation",26
668,662,Verified email at umontreal.ca - ,7,7,6,6,2018,2009,Samira Shabanian,Deep Learning Researcher at Microsoft Homepage None,"Generative models,Unsupervised and semi-supervised learning,Deterministic and stochastic neural networks,Deep learning,Optim",17
571,313,Verified email at intel.com,9,8,9,7,2019,2004,Ron  Banner,Machine Learning Scientist @  Intel None,,48
479,355,Verified email at hm.edu - ,8,7,8,6,2014,2008,David Spieler,"Professor for Machine Learning,  Munich University of Applied Science None","Machine Learning,Deep Learning,Reinforcement Learning,Stochastic Processes,Model Checking",17
419,393,Verified email at cs.ucl.ac.uk,5,5,5,5,2015,2012,Dimitris Athanasakis,"Machine Learning EngD,  University College London  (UCL)","Machine Learning,Artificial Intelligence,Computational Biology,Convex Optimization",11
341,341,Verified email at il.ibm.com - ,5,5,5,5,2019,2013,Guy Lev,"Machine Learning Researcher, IBM Research Homepage None","Machine Learning,Deep Learning,NLP,Computer Vision",11
290,279,Verified email at amazon.com,8,8,8,8,2019,2012,Heba Elfardy,"Machine Learning Scientist,  Amazon None","Natural Language Processing,Machine Learning",16
249,248,Verified email at cosmonio.com,7,7,3,3,2018,2013,Andru Putra Twinanda,"Deep learning engineer, COSMONiO Computer vision None","Computer vision,machine learning",14
209,208,Verified email at uni-kassel.de - ,8,8,7,7,2019,2013,Abozar Nasirahmadi,"Head of Machine Learning and Smart Systems in Agriculture,  University of Kassel None","Artificial intelligence,Machine vision,Precision livestock farming,Precision agriculture",21
189,159,Verified email at asu.edu,8,7,7,4,2017,2008,Ming Yang,"Research Scientist, Machine Learning at Facebook signal processing None","signal processing,computer architecture,machine learning",19
162,147,Verified email at google.com - ,5,5,5,5,2018,2010,Austin Waters,"PhD in Machine Learning, University of Texas at Austin (now at  Google )","Machine Learning,Language Modeling,Sequence-to-Sequence Models",7
137,137,Verified email at prowler.io - ,7,7,5,5,2019,2015,Felix Leibfried,Senior Machine Learning Researcher at PROWLER.io Homepage None,"machine learning,artificial intelligence,deep learning,reinforcement learning",13
123,103,Verified email at unify.id - ,4,4,2,2,2019,2008,Vinay Uday Prabhu,Machine Learning and Data Sciences @UnifyID Homepage None,"Machine Learning,Complex Networks,Estimation Theory,Information Theory",41
104,91,No verified email - ,6,5,4,4,2019,2009,Preeti J Pillai,Computer Vision & Deep Learning @ Verkada Homepage None,"Scene Understanding,Deep Learning,Object Identification,Surveillance",21
91,46,Verified email at hp.com,5,3,3,1,2012,2006,Rafael Borges,Machine Learning Expert in HP Brasil R&D Artificial Intelligence None,"Artificial Intelligence,Machine Learning",11
67,67,Verified email at email.arizona.edu,3,3,2,2,2017,2014,Mehdi Golari,Optimization and Machine Learning Scientist at 84.51 Optimization None,"Optimization,Data Analytics,Scientific Development,Machine Learning,Marketing Analytics",6
54,38,Verified email at asu.edu,2,2,2,1,2018,2008,Lei Liu,"Manager of Data Science and Machine Learning, Apple Inc. Machine Learning None","Machine Learning,Data Science",4
43,43,No verified email,2,2,1,1,2017,2016,Samir Moussa,Machine Learning Engineer Artificial Intelligence None,"Artificial Intelligence,Machine Learning,Deep Learning,Computational Neuroscience",2
35,35,Verified email at nottingham.ac.uk,3,3,1,1,2018,2013,Kayode Owa,Research Fellow and Consultant in Machine learning and Artificial Intelligence @  Nottingham None,"Artificial Intelligence,Machine learning,Metahueristic Optimization,Model Predictive Control",13
27,27,Verified email at quantgene.com - ,3,3,0,0,2019,2015,Pablo Gómez,"Machine Learning Researcher, Quantgene Homepage None","Machine Learning,Deep Learning,Genomics,Inverse Problems,Numerical Simulation",6
21,21,Verified email at purdue.edu,1,1,1,1,2016,2012,Nitin Khola,"Machine Learning Developer, MathWorks Particulate Flows None","Particulate Flows,Multiphase flows,Low Reynolds Number Flows",4
12,12,Verified email at amazon.com,1,1,1,1,2016,2016,Jagdeep Pani,"Machine Learning Scientist,  Amazon None","Machine Learning,Optimization,Computer Science",2
8,5,Verified email at amazon.com - ,2,1,0,0,2019,2007,Julio Delgado Mangas,Senior Machine Learning Algorithms engineer Homepage None,"Machine Learning,robotics,auto-coding",8
5,5,Verified email at cis.asu.edu.eg - ,1,1,0,0,2017,2015,Hassan ElMadany,SAP B1 Consultant and a Researcher in the field of Big Data and Machine Learning. Homepage None,"Big data,Natural Language Processing (NLP),Summarization,Deep Leaning,Business Intelligence",5
3,3,Verified email at riversideresearch.org,1,1,0,0,2018,2018,James von Albade,"Machine Learning Research Scientist, Riverside Research Machine learning None","Machine learning,computer vision",2
2,2,Verified email at sensetime.com,1,1,0,0,2019,2018,Chen Lin,"Machine Learning Researcher, Sensetime Research deep learning None","deep learning,stochastic optimization",4
1,1,Verified email at eng.ox.ac.uk - ,1,1,0,0,2019,2018,Philip J. Ball,"DPhil Machine Learning,  University of Oxford None","machine learning,variational inference,fairness",3
1,1,Verified email at korea.ac.kr,1,1,0,0,2019,2018,"Kyung-Hwan, Shim",", Pattern Recognition and Machine Learning lab. Korea University None","Artificial Intelligence,Deep Learning,Brain Machine Interface,Robot arm,EEG",3
1,1,Verified email at zhcet.ac.in,1,1,0,0,2019,2018,Arpit Jadon,"Machine Learning Engineer, Onward Assist Computer Vision None","Computer Vision,Image Processing,Machine Learning,Internet of Things",2
1,1,Verified email at intel.com,1,1,0,0,2018,2018,Mashrin Srivastava,"Deep Learning Engineer,  Intel Corporation None",Artificial Intelligence,1
1,1,No verified email,1,1,0,0,2017,2017,Paritosh Yadav,Machine Learning Engineer Deep Learning None,Deep Learning,1
1,1,Verified email at ucu.edu.ua - ,1,1,0,0,2019,2019,Yaroslava Lochman,"Research Engineer, The Machine Learning Lab, Ukrainian Catholic University Homepage None",Computer Vision,2
1,1,Verified email at cresta.ai,1,1,0,0,2016,2014,Shubham Gupta,"Machine Learning Engineer, Cresta NLP None","NLP,Conversational AI",2
1,1,Verified email at google.com,1,1,0,0,2019,2018,Chris Varano,"Machine Learning Engineer,  Google  Assistant","NLG,Reinforcement Learning",3
1,1,Verified email at fau.de,1,1,0,0,2019,2019,Luca Abel,"Machine Learning and Data Analytics Lab,  Friedrich-Alexander-Universität Erlangen-Nürnberg  (FAU)",,1
1,1,Verified email at babylonhealth.com,1,1,0,0,2019,2019,Kamen Brestnichki,"Machine Learning Scientist, Babylon Health Machine Learning None",Machine Learning,2
1,1,Verified email at cerebras.net,1,1,0,0,2019,2019,Vitaliy Chiley,"Machine Learning Team, Cerebras Machine Learning None","Machine Learning,Neural Networks,Deep Learning,Artificial Intelligence,Data Science",1
1,1,Verified email at sportlogiq.com,1,1,0,0,2018,2018,Ayush Jain,"Machine Learning Researcher, SPORTLOGiQ Reinforcement Learning None","Reinforcement Learning,Machine Learning",1
1,1,Verified email at iefr.edu.pk - ,1,1,0,0,2018,2018,Amir Ali,Machine Learning & Deep Learning Researcher at Wavy AI Research Foundation Homepage None,"Artificial Intelligence,Machine Learning,Deep Learning,Computer Vision,Natural Language Processing",3
1,1,Verified email at ericsson.com,1,1,0,0,2019,2018,Joel Reijonen,"Machine Intelligence Researcher, Ericsson Research Artificial Intelligence None","Artificial Intelligence,Machine Learning,Cloud computing",4
1,1,Verified email at aimsammi.org - ,1,1,0,0,2018,2018,TONDJI LIONEL NGOUPEYOU,African Masters in Machine Intelligence (AMMI) Homepage None,"Artificial intelligence,Deep learning,Machine learning,Optimization,number theory",1
1,1,No verified email - ,1,1,0,0,2019,2013,Mansoureh aghabeig,Machine Learning Researcher Homepage None,"Data science,Machine learning,Digital signal processing,Multi-obective optimization",6
1,1,No verified email,1,1,0,0,2017,2017,Sachin Prabhu,Machine Learning Engineer Machine Learning None,"Machine Learning,Deep Learning,NLP,Computer Vision",1
1,1,Verified email at aimsammi.org - ,1,1,0,0,2019,2019,Waleed Khamies,African Masters of Machine Intelligence Homepage None,"Reinforcement Learning,Interpretability,Transfer Learning",2
1,1,Verified email at aimsammi.org,1,1,0,0,2019,2019,Montaser Mohammedalamen,Master's Student African Master in Machine Intelligence (AMMI) Artificial Intelligence None,"Artificial Intelligence,Machine Learning,Reinforcement Learning,Transfer Learning,Robotics",2
1,1,Verified email at babylonhealth.com,1,1,0,0,2019,2019,Dane Sherburn,"Machine Learning Scientist, Babylon Health None None",,1
1,1,Verified email at student.gsu.edu,1,1,0,0,2018,2017,Jaya Krishna Mandivarapu,PhD Student in Deep Learning and General AI General AI None,"General AI,Continual Learning,Transfer Learning",4
1,1,Verified email at edu.bme.hu - ,1,1,0,0,2017,2017,Gábor Vecsei,Machine Learning Expert Homepage None,"deep learning,computer vision,machine learning",1
1,1,No verified email,1,1,0,0,2016,2013,Sainath,Machine Learning Enthusiast Machine Learning None,Machine Learning,2
1,1,Verified email at simplifa.de - ,1,1,0,0,2019,2018,Abdullah Salama,Machine Learning Engineer; Masters of Science Homepage None,"Machine Learning,Deep Learning,Efficient Deep Learning,Neural Networks Compression",2
1,1,Verified email at deeplab.ai - ,1,1,0,0,2019,2018,Nikolaos Gkanatsios,"Machine Learning Engineer at Deeplab, Reasearch Intern at CVSP NTUA Homepage None","Computer Vision,Machine Learning,Natural Language Processing",4
1,1,Verified email at scorelab.org,1,1,0,0,2019,2017,Sai Sankar Gochhayat,"Machine Learning Researcher, CET Bhubaneswar Machine Learning None","Machine Learning,Human-Computer Interaction,Health Informatics",5
1,1,Verified email at jcu.edu.au,1,1,0,0,2019,2018,Alzayat Saleh,"MPhil Student (Deep Learning) ,  James Cook University None",Deep Learning,3
1,1,Verified email at linkedin.com - ,1,1,0,0,2012,2012,Hitesh Kumar,"Senior Software Engineer - Machine Learning,  Linkedin None","Machine Learning,Software Engineering",1
1,1,Verified email at ltu.se,1,1,0,0,2019,2018,Tosin P. Adewumi,"PhD Candidate,  Luleå University of Technology , EISLAB, Machine Learning","artificial intelligence,machine learning,NLP,algorithms,blockchain",3
1,1,Verified email at nyu.edu - ,1,1,0,0,2018,2013,Mehmet Ugurbil,"Machine Learning, Google Homepage None",Learning,2
1,1,Verified email at usc.edu,1,1,0,0,2017,2012,Shyama Dorbala,Machine Learning Software Engineer Machine Learning None,"Machine Learning,DSP,ASR",5
1,1,No verified email,1,1,0,0,2018,2018,Abolfazl Madani,"Neuroscience, Deep Learning Researcher Optimization None","Optimization,Deep Learning,Neuroscience,Visual cortex",3
1,1,Verified email at ucl.ac.uk,1,1,0,0,2018,2017,Helene Bøhler,", MSc Machine Learning UCL None","Kunstig intelligens,matematikk",2
1,1,Verified email at sru.ac.ir - ,1,1,0,0,2019,2016,Saber MalekzadeH,AI researcher (Deep Learning) Homepage None,"Deep Learning,Data Science,Artificial Intelligence,Computer Science",8
1,0,Verified email at ksu.edu - ,1,0,0,0,2011,2010,Vishal Bahirwani,"Machine Learning Engineer, Capital One Homepage None","Machine Learning,AI",3
2,2,Verified email at nextsmarty.com,1,1,0,0,2019,2018,Tran Cong Thanh,Machine Learning Engineer Deep Learning None,"Deep Learning,Recommendation System,Computer Vision",2
2,2,Verified email at student.mahidol.ac.th - ,1,1,0,0,2019,2018,Poom Wettayakorn,Data Scientist / Machine Learning Engineer Homepage None,"Applied Machine Learning,Computer Vision,Natural Language Processing",3
2,2,Verified email at iitb.ac.in,1,1,0,0,2016,2016,Sri Naga Rajesh Kamma,Machine Learning Scientist Amazon None None,,1
2,2,Verified email at mail.aub.edu - ,1,1,0,0,2019,2018,Hussein M. Ramadan,"Machine Learning Researcher,  AUB None","AI,Machine Learning,Internet of Things,Deep Learning,DOS",3
2,2,Verified email at itu.dk - ,1,1,0,0,2018,2018,Daniel Varab,Senior Machine Learning Engineer at Karnov Homepage None,"NLP,Syntax,Parsing,ML,DL",2
2,2,Verified email at mail.chapman.edu,1,1,0,0,2018,2018,Natalia Rosenfield,", Machine Learning and Assistive Technologies Lab Chapman University None","data science,virtual reality. autism spectrum disorder",1
